bill_id,primary sponsor,bill_title
HB 1482,"Walton Gray, Rochelle","Requires St. Louis County, St. Louis City, and Kansas City to post instructions on the internet on how to set up a civilian review board along with other pertinent information"
HB 2172,"Curtis, Courtney Allen",Requires any project labor agreement on a stadium project not submitted to a public vote to be entered into by the governing body of the political subdivision in which the project is located
HB 2189,"Curtis, Courtney Allen",Requires ethical reforms related to testing of elementary and secondary education students
HB 1491,"Walton Gray, Rochelle",Establishes a program on police officer presence in schools and communities
HB 2144,"Smith, Clem",Requires General Assembly members to be subject to drug testing within 60 calendar days of the start of the legislative session or of being sworn in after election in a special election
HB 2200,"Chipman, Jason",Requires the Ethics Commission to establish an online registry for lobbying communications made to state legislators
HB 1526,"Walton Gray, Rochelle","Establishes in the department of public safety a ""Task Force To Study Community-Based Policing"""
HB 2192,"May, Karla",Requires the secretary of state to establish a system for automatic voter registration
HB 2145,"Smith, Clem",Raises the daily amount a wrongfully imprisoned person may receive from $50 to $128
SB 722,Romine,Expands the authority of the Governor to convey easements without the approval of the General Assembly and expands the rights granted by the easements
HJR 74,"McNeil, Margo",Proposes a constitutional amendment to expand the term limits for the General Assembly to sixteen years total between the two houses instead of eight years in any one house
HB 2196,"Pogue, Jeff",Establishes the Second Amendment Preservation Act
HB 1704,"Dunn, Randy",Changes the laws regarding lobbying and campaign finance disclosure
HB 1699,"Lant, Bill",Establishes the School Construction Act which exempts construction and maintenance work done for certain school districts from the prevailing wage requirement upon the school board's approval
HB 1535,"Adams, Joe",Changes the laws regarding the use of force by a law enforcement officer
HB 1494,"Walton Gray, Rochelle",Requires peace officers to complete a module established by the POST Commission to determine cultural competency
HJR 76,"Marshall, Nick",Proposes a constitutional amendment specifying that the right of an individual to work cannot be denied or abridged on account of his or her membership or lack of it in any labor organization or labor union
HJR 77,"Carpenter, Jon",Proposes a constitutional amendment exempting from taxation real and personal property owned by a veteran with a total service-connected disability
HB 2142,"Hill, Justin","Provides that any peace officer employed by the state or a county, city, or other political subdivision has the right to carry a firearm at all times"
HB 1492,"Walton Gray, Rochelle",Establishes a board for review of officer-involved deaths
HB 1521,"Ellington, Brandon",Requires a peace officer to obtain written consent prior to conducting a consensual search of a vehicle
HB 1501,"Walton Gray, Rochelle","Establishes in the Department of Public Safety a ""Task Force on Police Officer Presence in Schools and Communities"""
HB 1536,"Adams, Joe",Creates a citizens police review board in the Department of Public Safety to investigate civilian deaths resulting from an officer-involved shooting
HB 1481,"Walton Gray, Rochelle",Establishes the Community Relations Training Program for Peace Officers
HB 1516,"Ellington, Brandon",Requires uniformed law enforcement officer to wear a video camera while on duty to record any interaction between a law enforcement officer and a member of the public
HB 1902,"Taylor, Jered",Establishes the Freedom to Work Act
HB 1503,"Walton Gray, Rochelle","Establishes the ""Task Force To Study Community-Based Policing"""
HB 1560,"McCann Beatty, Gail","Specifies that if charges are filed against a law enforcement officer based on an officer involved shooting, the judge must appoint a special prosecutor"
HB 1880,"Lant, Bill",Modifies the law relating to the prevailing wage
HB 1489,"Walton Gray, Rochelle","Establishes the ""Joint Committee on Police Practices"""
HB 2177,"Curtis, Courtney Allen",Establishes the Historic Revitalization Act
HB 1810,"Gosen, Don",Changes the laws regarding the advertisement of alcohol prices or discounts
HB 1462,"Burlison, Eric",Prohibits an employer from requiring a person to become a member of a labor organization as a condition or continuation of employment
HB 1702,"Lant, Bill",Prohibits an employer from requiring a person to become a member of a labor organization as a condition or continuation of employment in counties that vote for such prohibition
HB 1701,"Lant, Bill",Prohibits an employer from requiring a person to become a member of a labor organization as a condition or continuation of employment
HR 58,"Smith, Clem",Strongly urges the United States Army to explain chemical testing that occurred in the 1950s and 1960s and requests the federal government to conduct a study on the tests' health effects
SB 826,Wallingford,Modifies provisions regarding professional nursing and collaborative practice arrangements
HB 1587,"Hill, Justin",Prohibits the state and any political subdivision from imposing restrictions on the parking of unlicensed motor vehicles as long as certain conditions are met
SJR 26,Silvey,Modifies the number of members of the General Assembly and limits service in the General Assembly to sixteen years in any proportion between the House and Senate
SB 807,Schupp,Modifies the law relating to ethics reform
HB 1441,"Mims, Bonnaye","Requires the Division of Drug and Crime Control, in conjunction with the Crime Laboratory Division, to create a pilot program that uses technologies and protocols to instantly identify new synthetic drugs"
SB 813,Brown,Allows pharmacists and pharmacy technicians to sell and dispense opioid antagonists
SB 850,Schupp,Modifies provisions relating to child care facility licensure
SB 819,Schupp,Requires employees and volunteers of specified public and private institutions to receive an influenza vaccination every year
SB 780,Wieland,Creates a regulatory system for self-service storage insurance and the selling of such insurance
SJR 28,Holsman,Modifies certain constitutional amendments relating to members of the General Assembly
SB 779,Wieland,Modifies cost-sharing requirements for health benefit plans offered by health maintenance organizations
SJR 32,Schmitt,Changes the date for final passage of bills in a regular session of the General Assembly
HB 2073,"Arthur, Lauren",Prohibits elected officials from accepting lobbyist gifts and prohibits lobbyists from providing gifts to such elected officials
SB 810,Schmitt,Repeals an incorrect intersectional reference in regard to regional recreational districts
HB 1410,"Houghton, Jay",Changes the laws regarding liability for the use of incompatible motor fuel
HB 2060,"Lavender, Deb",Modifies the laws relating to ethics
HB 1693,"Chipman, Jason","Makes it a class D felony until December 31, 2016, and a class E felony beginning January 1, 2017, if a person drives while intoxicated while a person under 18 is present in the vehicle"
SJR 29,Holsman,Creates a right to access medical marijuana
HB 1762,"Miller, Rocky",Modifies provisions relating to trespassing
SB 829,Wasson,Establishes legislative procedures for regulating previously unregulated professions
